ADD/CHG/DEL/WDR;Unique UN Assigned ID; ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC;Dictionary Entry Name (auto generated);Definition Mandatory;Working comments and instructions;Publication comments;Object Class Term Qualifier(s);Object Class Term;Property Term Qualifier(s);Property Term;Datatype Qualifier(s);Representation Term;Qualified Data Type UID;Associated Object Class Term Qualifier(s);Associated Object Class;Business Term(s);Usage Rule(s);Sequence Number;Occurrence Min;Occurrence Max;Context Categories Mandatory for BIE's;;;;;;;;;;;;;;;;;;;;;;;;Facets To restrict the set of values of Content Component or Supplementary Components;;;;;;;;;;;;;
ADD;UN00002200;BCC;Accounting Line Monetary Value. Distribution Key. Identifier;The unique identifier for the distribution key of this accounting line monetary value.;;;;Accounting Line Monetary Value;;Distribution Key;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002201;ASCC;Accounting Line Monetary Value. Booking. Accounting Account;An accounting account to which this accounting line monetary value is booked.;;;;Accounting Line Monetary Value;;Booking;;;;;Accounting Account;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002206;ACC;Accounting Voucher. Details;A document that assesses the reality of an operation, authenticates its conclusion and is used in accounting entry recording and for audit control matters.;;;;Accounting Voucher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002207;BCC;Accounting Voucher. Storage Location. Text;The storage location, expressed as text, for his accounting voucher.;;;;Accounting Voucher;;Storage Location;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002208;BCC;Accounting Voucher. Receiving Department. Text;The receiving department, expressed as text, for this accounting voucher.;;;;Accounting Voucher;;Receiving Department;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002209;BCC;Accounting Voucher. Identification. Identifier;The unique identifier for this accounting voucher.;;;;Accounting Voucher;;Identification;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002210;BCC;Accounting Voucher. Medium. Code;The code specifying the medium for this accounting voucher, such as VAN, Internet, Optical Disk, DVD, CD-Rom, USB Key, EDI, ebXML, or paper.;;;;Accounting Voucher;;Medium;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002213;BCC;Accounting Voucher. Tax Point. Date Time;The date, time, date time, or other date time value of the tax point for this accounting voucher.;;;;Accounting Voucher;;Tax Point;;Date Time;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002214;BCC;Accounting Voucher. Imported File. Identifier;The unique identifier for the imported file containing this accounting voucher, such as in the case of an accounting system migration.;;;;Accounting Voucher;;Imported File;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002215;ASCC;Accounting Voucher. Related. Document;A document related to this accounting voucher.;;;;Accounting Voucher;;Related;;;;;Document;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002216;ACC;Add On Coverage. Details;A coverage which is added on to a policy but is provided by a different insurer/risk bearer.;;;;Add On Coverage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002217;BCC;Add On Coverage. Insurer Class. Code;The code specifying the insurer class of the add-on coverage, such as legal expense insurer, assistance company.;;;;Add On Coverage;;Insurer Class;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002218;BCC;Add On Coverage. Policy. Identifier;The unique identifier of the policy for this add-on coverage.;;;;Add On Coverage;;Policy;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002219;BCC;Add On Coverage. Insurer. Identifier;The unique identifier of the insurer for this add-on coverage.;;;;Add On Coverage;;Insurer;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000010;ACC;Address. Details;The location at which a particular organization or person may be found or reached.;;;;Address;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000011;BCC;Address. Identification. Identifier;A unique identifier for this address.;;;;Address;;Identification;;Identifier;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHG;UN00000012;BCC;Address. Format. Code;The code specifying the format of this address.;;;;Address;;Format;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHG;UN00000014;BCC;Address. Postcode. Code;A code specifying the postcode of the address.;;;;Address;;Postcode;;Code;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHG;UN00000032;BCC;Address. Post Office Box. Text;The unique identifier, expressed as text, of a container commonly referred to as a box, in a post office or other postal service location, assigned to a person or organization, where postal items may be kept for this address.;;;;Address;;Post Office Box;;Text;;;;European Standard EN 14142-1: Delivery service type;This business term is used in the standardised French postal address;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000019;BCC;Address. Block Name. Text;The block name, expressed as text, for an area surrounded by streets and usually containing several buildings for this address.;;;;Address;;Block Name;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000020;BCC;Address. Building Number. Text;The number, expressed as text, of a building or house on a street at this address.;;;;Address;;Building Number;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000021;BCC;Address. Building Name. Text;The name, expressed as text, of a building, a house or other structure on a street at this address.;;;;Address;;Building Name;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000023;BCC;Address. Room Identification. Text;The identification, expressed as text, of a room, suite, office or apartment as part of an address.;;;;Address;;Room Identification;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000022;BCC;Address. Department Name. Text;The name, expressed as text, of a department within this address.;;;;Address;;Department Name;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000024;BCC;Address. Floor Identification. Text;The identification by name or number, expressed as text, of the floor in a building as part of an address.;;;;Address;;Floor Identification;;Text;;;;SubPremiseNumber;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHG;UN00000025;BCC;Address. In-House Mail. Text;An in-house mail location, expressed as text, for this address.;;;;Address;;In-House Mail;;Text;;;;European Standard EN 14142-1: Delivery Point Access Data;This business term is used in the standardised French postal address;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000026;BCC;Address. Line One. Text;The first free form line, expressed as text, of an address.;;;;Address;;Line One;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000027;BCC;Address. Line Two. Text;The second free form line, expressed as text, of an address.;;;;Address;;Line Two;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000028;BCC;Address. Line Three. Text;The third free form line, expressed as text, of an address.;;;;Address;;Line Three;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000029;BCC;Address. Line Four. Text;The fourth free form line, expressed as text, of an address.;;;;Address;;Line Four;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000030;BCC;Address. Line Five. Text;The fifth free form line, expressed as text, of an address.;;;;Address;;Line Five;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000031;BCC;Address. Plot Identification. Text;The textual expression of the unique identifier for the piece of land on which this address is located such as a plot number.;;;;Address;;Plot Identification;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHG;UN00000033;BCC;Address. Street Name. Text;A name, expressed as text, of a street or thoroughfare.;;;;Address;;Street Name;;Text;;;;European Standard EN 14142-1: Thoroughfare Name;This business term is used in the standardised French postal address;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHG;UN00000013;BCC;Address. City Name. Text;The name, expressed as text, of the city, town or village of this address.;;;;Address;;City Name;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000200;BCC;Address. Attention Of. Text;The name, expressed as text, of a person or department in the organization to whom incoming mail is marked with words such as 'for the attention of' or 'FAO' or 'ATTN' for this address.;;;;Address;;Attention Of;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000201;BCC;Address. Care Of. Text;The name, expressed as text, of a person or organization at this address to whom incoming mail is marked with words such as 'care of' or 'C/O'.;;;;Address;;Care Of;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000203;BCC;Address. Country. Identifier;The unique identifier of a country for this address (Reference ISO 3166 and UN/ECE Rec 3).;;;;Address;;Country;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000204;BCC;Address. Type. Code;A code specifying the type of this address such as business address or home address.;;;;Address;;Type;;Code;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000205;BCC;Address. City Sub-Division Name. Text;A name, expressed as text, of a sub-division of a city for this address, for example a district or borough.;;;;Address;;City Sub-Division Name;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHG;UN00000937;BCC;Address. Country Name. Text;A name, expressed as text, of the country for this address.;;;;Address;;Country Name;;Text;;;;European Standard EN 14142-1;Used in standard address in France:The seventh free form line, expressed as text of an address (Country name);;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000936;BCC;Address. Country Sub-Division. Identifier;A unique identifier of the country sub-division for this address.;;;;Address;;Country Sub-Division;;Identifier;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000935;BCC;Address. Country Sub-Division Name. Text;A name, expressed as text, of the sub-division of a country for this address.;;;;Address;;Country Sub-Division Name;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00001249;BCC;Address. Description. Text;A textual description of this address.;;;;Address;;Description;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002632;BCC;Address. Line Six. Text;The sixth free form line, expressed as text, of an address.;;;;Address;;Line Six;;Text;;;;;This BCC is used in the standardised French postal address;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002633;BCC;Address. Street Type. Code;The code specifying the category or type of street.;;;;Address;;Street Type;;Code;;;;European Standard EN 14142-1: Thoroughfare type;Used in standard address in France: Postal address element indicating the category or type of thoroughfare;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002730;BCC;Address. City. Identifier;The unique identifier of the city for this address, such as United Nations Location Code (UNLOCODE).;;;;Address;;City;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002220;BCC;Address. Township Name. Text;A name, expressed as text, of a township within which this address falls. A township is a geographic area that contains one or more cities, towns and villages.;;;;Address;;Township Name;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002221;BCC;Address. Returned Mail. Indicator;An indication of whether or not mail has been returned from this address.;;;;Address;;Returned Mail;;Indicator;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002222;BCC;Address. Legal Address. Indicator;The indication of whether or not this address is a legal address.;;;;Address;;Legal Address;;Indicator;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002223;BCC;Address. Bar Code. Indicator;The indication of whether or not a barcode is included with the address.;;;;Address;;Bar Code;;Indicator;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002224;BCC;Address. Prevent Override. Indicator;The indication of whether or not automatic override should be prevented for this address. For example some systems based on post office addresses will override local names with official names.;;;;Address;;Prevent Override;;Indicator;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000015;ASCC;Address. Country Identification. Country;The unique identifier of the country for this address.;;;;Address;;Country Identification;;;;;Country;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000016;ASCC;Address. Country Identification. Country Sub-Division;An identification of a country sub-division of this address such as a state or county in the US or county in the UK or a department in France.;;;;Address;;Country Identification;;;;;Country Sub-Division;In the US: State, County, etc.  In the UK: County, etc.  In France: Departments, etc.;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000035;ASCC;Address. Geo-Coordinate Identification. Geographical Coordinate;An identification of a set of geographical coordinates for this address.;;;;Address;;Geo-Coordinate Identification;;;;;Geographical Coordinate;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
